S001;85;78;92
S002;45;66;58
S003;92;88;95
S004;76;82;70
S005;61;54;68
S006;88;91;85
S007;55;60;42
S008;79;74;81
S009;95;100;98
S010;68;72;65
S011;82;85;88
S012;40;35;50
S013;74;70;76
S014;89;92;90
S015;63;58;61
S016;71;75;73
S017;98;95;97
S018;52;48;55
S019;86;84;89
S020;73;77;75
S021;65;68;62
S022;90;92;94
S023;81;79;83
S024;57;62;59
S025;78;81;80
S026;84;86;85
S027;93;91;94
S028;66;64;69
S029;72;75;70
S030;87;89;86
S031;59;55;62
S032;83;80;85
S033;96;98;95
S034;64;68;60
S035;75;72;78
S036;91;93;90
S037;48;52;45
S038;80;82;81
S039;77;74;79
S040;69;71;67
S041;85;88;86
S042;54;50;58
S043;94;92;96
S044;82;85;80
S045;70;73;71
S046;79;81;83
S047;62;65;60
S048;88;85;90
S049;97;99;100
S050;60;62;61
S051;83;85;82
S052;74;70;76
S053;91;89;92
S054;68;72;65
S055;55;58;52
S056;86;84;88
S057;79;82;80
S058;92;95;90
S059;63;60;66
S060;77;74;79
S061;84;86;85
S062;49;52;45
S063;95;92;98
S064;71;75;73
S065;88;91;85
S066;66;64;69
S067;80;82;81
S068;93;91;94
S069;52;48;55
S070;87;89;86
S071;73;77;75
S072;60;62;61
S073;98;95;97
S074;78;81;80
S075;82;85;88
S076;57;62;59
S077;90;92;94
S078;69;71;67
S079;85;88;86
S080;40;35;50
S081;96;98;95
S082;75;72;78
S083;64;68;60
S084;81;79;83
S085;94;92;96
S086;59;55;62
S087;83;80;85
S088;70;73;71
S089;97;99;100
S090;62;65;60
S091;89;92;90
S092;77;74;79
S093;54;50;58
S094;82;85;80
S095;68;72;65
S096;91;93;90
S097;74;70;76
S098;86;84;88
S099;63;58;61
S100;95;100;98
